"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2007","263.50","251.81","265.33","248.98","582.94M","4.64%"
"04/01/2007","251.82","248.21","257.85","246.82","514.78M","1.46%"
"03/01/2007","248.20","245.39","254.49","237.25","617.15M","1.14%"
"02/01/2007","245.40","243.09","258.57","240.53","512.52M","0.95%"
"01/01/2007","243.09","234.72","244.90","229.47","543.11M","3.57%"
"12/01/2006","234.72","229.72","237.94","226.80","420.04M","2.18%"
"11/01/2006","229.72","224.98","233.51","223.91","526.24M","2.12%"
"10/01/2006","224.96","216.31","226.72","214.01","548.27M","4.00%"
"09/01/2006","216.31","210.81","219.01","204.47","459.40M","2.61%"
"08/01/2006","210.80","200.93","211.44","198.60","489.89M","4.91%"
"07/01/2006","200.93","207.96","209.80","197.53","469.74M","-3.38%"
"06/01/2006","207.96","210.10","214.08","195.55","607.37M","-1.02%"
"05/01/2006","210.10","215.69","222.64","204.72","652.01M","-2.59%"
"04/01/2006","215.69","211.08","219.12","208.63","545.78M","2.19%"
"03/01/2006","211.07","208.49","216.78","204.96","588.39M","1.25%"
"02/01/2006","208.46","207.53","213.49","201.76","599.78M","0.45%"
"01/01/2006","207.53","204.71","211.39","202.19","682.88M","1.38%"
